id,name,type,symptom_keywords,cause_tags,diet_compatibility,lifestyle_tags,age_group_tags,gender_tags,food_sources,description,citation
11,Copper (Hair Pigmentation),mineral,"hair loss, gray hair, premature graying, hair color loss, hair thinning, weak immunity, poor collagen, alopecia","deficiency,hair,collagen,melanin","vegan|veg|nonveg","sedentary|moderately_active","25-34|35-50|50-65","all","shellfish, nuts, seeds, whole grains, mushrooms, dark chocolate, legumes","Essential for melanin production and prevents premature graying","https://ods.od.nih.gov/factsheets/Copper-HealthProfessional/"
12,Vitamin B6 (Hair Growth),vitamin,"hair loss, poor hair growth, hair thinning, hormonal imbalance, mood issues, skin issues, weak immunity, alopecia","deficiency,hair,hormonal,neurological","vegan|veg|nonveg","sedentary","18-24|25-34|35-50","all","bananas, chickpeas, salmon, potatoes, sunflower seeds, avocado, chicken","Supports protein synthesis needed for hair structure","https://ods.od.nih.gov/factsheets/VitaminB6-HealthProfessional/"
13,Protein (Hair Building),macronutrient,"hair loss, hair thinning, weak hair, poor hair growth, muscle wasting, slow healing, alopecia, brittle hair","deficiency,hair,muscle,healing","veg|nonveg","active","18-24|25-34|35-50","all","eggs, lentils, beans, chicken, fish, tofu, greek yogurt, pumpkin seeds","Hair is made of protein - essential for hair structure and growth","https://medlineplus.gov/protein.html"
14,Collagen Peptides (Hair),protein,"hair loss, hair thinning, weak hair, skin sagging, slow healing, brittle nails, poor hair elasticity, alopecia","collagen,hair,skin,healing","nonveg","sedentary|moderately_active","35-50|50-65","all","bone broth, fish skin, collagen powder, gelatin, chicken skin","Provides amino acids for hair structure and strength","https://medlineplus.gov/druginfo/natural/1055.html"
15,Vitamin C (Hair Collagen),vitamin,"hair loss, weak hair, slow wound healing, poor collagen, bleeding gums, weak immunity, hair breakage, alopecia","immunity,collagen,hair,antioxidant","vegan|veg|nonveg","active|moderately_active","18-24|25-34|35-50|50-65","all","citrus fruits, kiwi, peppers, strawberries, broccoli, tomatoes, papaya","Crucial for collagen synthesis in hair follicles","https://ods.od.nih.gov/factsheets/VitaminC-HealthProfessional/"
16,Niacin (Vitamin B3),vitamin,"hair loss, hair thinning, skin rash, poor circulation, scalp issues, dermatitis, alopecia, weak hair growth","deficiency,hair,skin,circulation","vegan|veg|nonveg","sedentary","18-24|25-34|35-50","all","chicken, tuna, peanuts, mushrooms, turkey, sunflower seeds","Improves blood circulation to scalp and supports hair growth","https://ods.od.nih.gov/factsheets/Niacin-HealthProfessional/"
17,Pantothenic Acid (Hair),vitamin,"hair loss, hair thinning, hair graying, poor hair growth, acne, skin issues, stress, alopecia, weak hair","deficiency,hair,skin,stress","vegan|veg|nonveg","sedentary","18-24|25-34|35-50","all","mushrooms, avocados, chicken, eggs, sunflower seeds, whole grains","Supports hair pigmentation and prevents premature graying","https://ods.od.nih.gov/factsheets/PantothenicAcid-HealthProfessional/"
18,Omega-3 (Scalp Health),fatty acid,"hair loss, dry scalp, scalp inflammation, poor hair quality, weak hair, brittle hair, scalp issues, alopecia","hair,inflammation,scalp,circulation","nonveg","active|moderately_active","25-34|35-50|50-65","all","fish, salmon, sardines, flaxseed, chia seeds, walnuts","Reduces scalp inflammation and improves hair quality","https://ods.od.nih.gov/factsheets/Omega3FattyAcids-HealthProfessional/"
19,Stress & Cortisol Management,supplement,"stress-induced hair loss, telogen effluvium, emotional stress, anxiety, poor sleep, burnout, tension, alopecia from stress","stress,hair,hormonal,sleep","vegan|veg|nonveg","sedentary|moderately_active","25-34|35-50|50-65","all","ashwagandha, rhodiola, magnesium, L-theanine, supplement","Reduces cortisol spikes that trigger stress-related hair shedding","https://medlineplus.gov/druginfo/natural/953.html"
20,Vitamin B12,vitamin,"numbness, memory loss, hair thinning, anemia, tingling, fatigue, brain fog, neurological issues, alopecia","deficiency,neurological,blood","veg|nonveg","sedentary|moderately_active","25-34|35-50|50-65","all","eggs, dairy, fish, fortified plant milk, clams, beef","Supports nerve function and red blood cell formation","https://ods.od.nih.gov/factsheets/VitaminB12-HealthProfessional/"
21,Vitamin D,vitamin,"bone pain, frequent infections, muscle weakness, poor mood, seasonal affective, fatigue, low energy, depression, weak immunity","deficiency,hormonal,immunity,mood","veg|nonveg","sedentary|moderately_active","25-34|35-50|50-65","all","sunlight, fatty fish, egg yolks, mushrooms, fortified milk, salmon","Supports bone health, immune regulation, and mood balance","https://ods.od.nih.gov/factsheets/VitaminD-HealthProfessional/"
22,Magnesium (Sleep & Stress),mineral,"muscle twitching, leg cramps, poor sleep, palpitations, migraines, tension, stress, anxiety, restlessness, insomnia","neurological,muscle,sleep,stress","vegan|veg|nonveg","active|moderately_active","18-24|25-34|35-50|50-65","all","spinach, almonds, pumpkin seeds, dark chocolate, avocado, legumes","Supports nerve relaxation, sleep quality, and stress response","https://ods.od.nih.gov/factsheets/Magnesium-HealthProfessional/"
23,Calcium,mineral,"bone fractures, tooth weakness, muscle spasms, osteoporosis, weak nails, poor bone density, dental issues, cramping","deficiency,bone,oral","veg|nonveg","sedentary|moderately_active","25-34|35-50|50-65","all","milk, yogurt, leafy greens, cheese, sardines, fortified plant milk","Supports bone density, muscle contraction, and dental health","https://ods.od.nih.gov/factsheets/Calcium-HealthProfessional/"
24,Iodine,mineral,"neck swelling, weight gain, cold intolerance, hair loss, sluggishness, fatigue, brain fog, thyroid dysfunction, metabolism issues","hormonal,thyroid,metabolism","veg|nonveg","sedentary","25-34|35-50|50-65","all","iodized salt, seaweed, shrimp, eggs, dairy, cod fish","Supports thyroid hormone production and metabolism","https://ods.od.nih.gov/factsheets/Iodine-HealthProfessional/"
25,Ashwagandha,adaptogen,"chronic stress, anxiety, poor sleep quality, burnout, tension, racing thoughts, mood issues, cortisol, alopecia from stress","stress,hormonal,sleep,mood","vegan|veg|nonveg","sedentary|moderately_active","25-34|35-50|50-65","all","ashwagandha root, supplement form, ashwagandha powder","Balances cortisol and reduces stress-related hair loss","https://medlineplus.gov/druginfo/natural/953.html"
26,L-Theanine,amino acid,"racing thoughts, nervousness, poor focus, anxiety, stress, restlessness, tension, racing mind, insomnia","neurological,stress,cognition,sleep","vegan|veg|nonveg","sedentary|moderately_active","25-34|35-50|50-65","all","green tea, matcha, supplement form, black tea","Promotes relaxation without drowsiness","https://medlineplus.gov/druginfo/natural/1059.html"
27,Melatonin,hormone,"difficulty falling asleep, jet lag, disrupted sleep cycle, poor sleep, insomnia, restlessness, circadian rhythm issues","sleep,hormonal,circadian","vegan|veg|nonveg","sedentary|moderately_active","25-34|35-50|50-65","all","tart cherry juice, kiwis, supplement form, milk","Regulates circadian rhythm and improves sleep quality","https://medlineplus.gov/druginfo/natural/940.html"
28,Rhodiola,adaptogen,"mental exhaustion, burnout, poor concentration, fatigue, brain fog, low mood, stress recovery, telogen effluvium","stress,neurological,cognition,fatigue","vegan|veg|nonveg","active|moderately_active","25-34|35-50|50-65","all","rhodiola root, supplement form, golden root","Improves resilience to mental fatigue and stress","https://medlineplus.gov/druginfo/natural/883.html"
29,Chamomile,herbal,"restlessness, mild insomnia, stomach nervousness, anxiety, bloating, nausea, poor digestion, sleep issues","sleep,digestive,stress","vegan|veg|nonveg","sedentary|moderately_active","25-34|35-50","all","chamomile flowers, chamomile tea, dried flowers","Calms nervous system and aids sleep naturally","https://medlineplus.gov/druginfo/natural/944.html"
30,Curcumin (Turmeric),polyphenol,"joint swelling, chronic inflammation, arthritis, pain, stiffness, muscle soreness, autoimmune, inflammation, joint pain","inflammation,joint,antioxidant","vegan|veg|nonveg","active|moderately_active","25-34|35-50|50-65","all","turmeric, golden milk, curry powder, black pepper","Reduces inflammatory pathways and joint pain","https://medlineplus.gov/druginfo/natural/662.html"
31,Ginger Extract,phytonutrient,"nausea, motion sickness, stomach cramps, bloating, poor digestion, inflammation, joint pain, muscle soreness","digestive,inflammation","vegan|veg|nonveg","sedentary|moderately_active","25-34|35-50|50-65","all","ginger root, ginger tea, fresh ginger","Supports digestion and reduces inflammation","https://medlineplus.gov/druginfo/natural/961.html"
32,Probiotics,supplement,"bloating, diarrhea, weak immunity, gut imbalance, poor digestion, constipation, intestinal issues, IBS","digestive,immunity,gut","veg|nonveg","sedentary|moderately_active","18-24|25-34|35-50","all","yogurt, kefir, sauerkraut, kimchi, tempeh, fermented foods","Supports healthy gut bacteria and digestive balance","https://medlineplus.gov/probiotics.html"
33,Peppermint Oil,herbal,"irritable bowel, abdominal pain, bloating, indigestion, poor digestion, cramps, stomach pain, gas","digestive,gut","vegan|veg|nonveg","sedentary|moderately_active","25-34|35-50","all","peppermint leaves, peppermint tea, peppermint oil","Relieves gut spasms and bloating","https://medlineplus.gov/druginfo/natural/308.html"
34,Psyllium Husk,fiber,"chronic constipation, hard stools, poor digestion, bloating, sluggish bowels, IBS, digestive issues","digestive,bowel","vegan|veg|nonveg","sedentary","18-24|25-34|35-50","all","psyllium husk powder, whole grains, chia seeds","Improves bowel regularity and digestive health","https://medlineplus.gov/druginfo/natural/1007.html"
35,Aloe Vera Extract,herbal,"acid reflux, stomach ulcers, poor digestion, inflammation, GI issues, bloating, nausea, leaky gut","digestive,inflammation,gut","vegan|veg|nonveg","sedentary","25-34|35-50|50-65","all","aloe vera gel, supplement form, aloe juice","Soothes digestive tract lining","https://medlineplus.gov/druginfo/natural/607.html"
36,Artichoke Extract,phytonutrient,"gallbladder pain, poor fat digestion, liver dysfunction, toxin exposure, poor digestion, bloating","digestive,liver","vegan|veg|nonveg","sedentary","25-34|35-50|50-65","all","artichoke, artichoke leaf extract, supplement form","Supports bile flow and liver function","https://medlineplus.gov/druginfo/natural/838.html"
37,Milk Thistle,herbal,"fatty liver, elevated liver enzymes, liver dysfunction, toxin exposure, poor digestion, detoxification needs","liver,detox,digestive","vegan|veg|nonveg","sedentary","25-34|35-50|50-65","all","milk thistle seeds, supplement form, tea","Protects liver cells and supports detoxification","https://medlineplus.gov/druginfo/natural/138.html"
38,NAC (N-Acetyl Cysteine),amino acid derivative,"toxin exposure, chronic cough, oxidative stress, weak immunity, respiratory issues, detoxification, lung health","detox,antioxidant,immunity","veg|nonveg","sedentary|moderately_active","25-34|35-50|50-65","all","supplement form, onions, garlic, broccoli","Boosts glutathione and detox enzymes","https://medlineplus.gov/druginfo/natural/1019.html"
39,Lutein (Eye Health),carotenoid,"eye strain, screen fatigue, poor night vision, blurred vision, eye health issues, aging eyes, macular degeneration","vision,antioxidant","vegan|veg|nonveg","sedentary","25-34|35-50|50-65","all","spinach, kale, corn, eggs, broccoli, peas","Protects retina and improves visual acuity","https://ods.od.nih.gov/factsheets/LuteinZeaxanthin-HealthProfessional/"
40,Zeaxanthin,carotenoid,"blurred vision, light sensitivity, age-related vision loss, eye strain, screen fatigue, macular health, poor vision","vision,antioxidant,aging","vegan|veg|nonveg","sedentary","25-34|35-50|50-65","all","corn, eggs, orange peppers, citrus, leafy greens","Supports macular health and visual function","https://ods.od.nih.gov/factsheets/LuteinZeaxanthin-HealthProfessional/"
41,Ginkgo Biloba (Brain),herbal,"poor memory, cold hands, poor circulation, brain fog, confusion, memory loss, cognitive decline, slow thinking","circulation,neurological,cognition","vegan|veg|nonveg","sedentary|moderately_active","35-50|50-65","all","ginkgo leaves, ginkgo supplement, ginkgo extract","Improves blood flow to brain and extremities","https://medlineplus.gov/druginfo/natural/333.html"
42,Lion's Mane Mushroom,medicinal mushroom,"brain fog, poor memory, slow thinking, cognitive decline, confusion, poor focus, neurological issues, memory problems","neurological,cognition,antioxidant","vegan|veg|nonveg","sedentary|moderately_active","25-34|35-50|50-65","all","lion's mane mushroom, mushroom powder, fresh mushrooms","Supports nerve growth and cognitive function","https://medlineplus.gov/druginfo/natural/1084.html"
43,Phosphatidylserine,phospholipid,"forgetfulness, difficulty concentrating, poor memory, brain fog, age-related decline, cognitive issues, ADHD, focus problems","neurological,cognition,aging","veg|nonveg","sedentary|moderately_active","35-50|50-65","all","soy, fish, bovine brain, supplement form","Supports brain cell membrane function and memory","https://medlineplus.gov/druginfo/natural/1103.html"
44,Coenzyme Q10,antioxidant,"muscle pain, statin side effects, low stamina, fatigue, heart issues, cardiac weakness, mitochondrial dysfunction","mitochondrial,antioxidant,cardiac","nonveg","active|moderately_active","25-34|35-50|50-65","all","meat, fish, organ meats, peanuts, spinach","Supports cellular energy production and heart health","https://medlineplus.gov/druginfo/natural/938.html"
45,Quercetin,flavonoid,"seasonal allergies, sneezing, itchy eyes, hay fever, allergy symptoms, inflammation, joint pain, histamine response","immunity,allergy,antioxidant","vegan|veg|nonveg","sedentary|moderately_active","25-34|35-50|50-65","all","onions, apples, berries, tea, citrus, red wine","Stabilizes mast cells and reduces allergy symptoms","https://medlineplus.gov/druginfo/natural/294.html"
46,Reishi Mushroom,medicinal mushroom,"frequent illness, poor sleep, low immunity, stress, anxiety, fatigue, burnout, mood issues, immune support, infection risk","immunity,sleep,stress,mood","vegan|veg|nonveg","sedentary|moderately_active","25-34|35-50|50-65","all","reishi mushroom, mushroom extract, supplement form","Strengthens immune defenses and promotes calmness","https://medlineplus.gov/druginfo/natural/1154.html"
47,Turkey Tail Mushroom,medicinal mushroom,"chronic infections, weak immune response, poor gut health, intestinal issues, low immunity, immune dysregulation, infection risk","immunity,digestive,gut","vegan|veg|nonveg","sedentary|moderately_active","25-34|35-50|50-65","all","turkey tail mushroom, mushroom powder, mushroom tea","Supports immune cell activity and gut health","https://medlineplus.gov/druginfo/natural/1175.html"
48,Echinacea,herbal,"sore throat, early cold symptoms, upper respiratory infection, weak immunity, infection risk, common cold, respiratory issues","immunity,infection,respiratory","vegan|veg|nonveg","sedentary|moderately_active","18-24|25-34|35-50","all","echinacea herb, echinacea tea, supplement form","Stimulates immune response against infections","https://medlineplus.gov/druginfo/natural/981.html"
49,Garlic Extract,phytonutrient,"frequent colds, high blood pressure, weak immunity, cardiovascular issues, infection risk, inflammation, poor immune function","immunity,cardiac,antioxidant","vegan|veg|nonveg","sedentary|moderately_active","25-34|35-50|50-65","all","garlic, fresh garlic, garlic supplement, garlic powder","Supports immune and cardiovascular health","https://medlineplus.gov/druginfo/natural/300.html"
50,Omega-3 High EPA/DHA,fatty acid,"high triglycerides, heart inflammation, cardiac issues, brain fog, mood issues, inflammation, cardiovascular risk, joint pain","cardiac,inflammation,neurological","nonveg","active|moderately_active","25-34|35-50|50-65","all","fish oil, salmon, mackerel, sardines, halibut, trout","Reduces cardiovascular inflammation and supports brain health","https://ods.od.nih.gov/factsheets/Omega3FattyAcids-HealthProfessional/"
51,Plant Sterols,compound,"high cholesterol, arterial plaque, cardiovascular risk, lipid issues, inflammation, heart disease risk, hypertension","cardiac,metabolic,antioxidant","vegan|veg|nonveg","sedentary","35-50|50-65","all","vegetable oils, nuts, seeds, whole grains, legumes","Lowers LDL cholesterol absorption naturally","https://medlineplus.gov/druginfo/natural/1111.html"
52,Magnesium Glycinate,mineral,"heart rhythm irregularity, night cramps, muscle tension, anxiety, stress, sleep issues, palpitations, cardiac arrhythmia","cardiac,neurological,sleep,stress","vegan|veg|nonveg","sedentary|moderately_active","25-34|35-50|50-65","all","magnesium supplement, leafy greens, nuts, seeds","Supports cardiac rhythm and muscle relaxation","https://ods.od.nih.gov/factsheets/Magnesium-HealthProfessional/"
53,Butterbur,herbal,"migraine headaches, nasal allergies, allergy symptoms, tension headaches, inflammation, sinus issues, allergy inflammation","neurological,allergy,inflammation","vegan|veg|nonveg","sedentary","25-34|35-50|50-65","all","butterbur root, supplement form, butterbur extract","Reduces migraine frequency and severity","https://medlineplus.gov/druginfo/natural/649.html"
54,Riboflavin (Migraine Prevention),vitamin,"migraine attacks, light sensitivity, headaches, eye strain, poor energy, muscle weakness, migraine prevention, neurological issues","neurological,energy,vision","vegan|veg|nonveg","sedentary","18-24|25-34|35-50","all","milk, eggs, mushrooms, almonds, leafy greens, chicken","Supports nerve energy and prevents migraines","https://ods.od.nih.gov/factsheets/Riboflavin-HealthProfessional/"
55,Magnesium Citrate,mineral,"tension headaches, constipation, muscle cramps, poor digestion, migraines, bowel irregularity, muscle pain, headache pain","neurological,digestive,muscle","vegan|veg|nonveg","sedentary|moderately_active","18-24|25-34|35-50","all","magnesium supplement, leafy greens, legumes, nuts","Relieves headaches and improves bowel movement","https://ods.od.nih.gov/factsheets/Magnesium-HealthProfessional/"
56,Pycnogenol,polyphenol,"poor circulation, leg swelling, varicose veins, edema, muscle pain, circulation issues, cold extremities, blood flow problems","circulation,antioxidant,inflammation","vegan|veg|nonveg","sedentary|moderately_active","35-50|50-65","all","pine bark extract, supplement form, blueberries","Improves blood vessel function and circulation","https://medlineplus.gov/druginfo/natural/733.html"
57,Cranberry Extract,phytonutrient,"recurrent urinary tract infections, bladder infections, urinary issues, frequent urination, UTI prevention, UTI symptoms, painful urination","urinary,immunity,antioxidant","vegan|veg|nonveg","sedentary","25-34|35-50|50-65","female","cranberries, cranberry juice, supplement form","Prevents bacterial adhesion in urinary tract","https://medlineplus.gov/druginfo/natural/958.html"
58,D-Mannose,sugar,"burning urination, bladder infections, UTI symptoms, urinary pain, frequent urination, infection, urinary tract health, cystitis","urinary,infection","vegan|veg|nonveg","sedentary","25-34|35-50|50-65","female","supplement form, cranberries, apples, berries","Blocks bacterial attachment in bladder","https://medlineplus.gov/druginfo/natural/1001.html"
59,Saw Palmetto,herbal,"frequent urination, prostate enlargement, prostate issues, urinary symptoms, hormonal imbalance, BPH, prostate health, male urinary","urinary,hormonal,reproductive","vegan|veg|nonveg","sedentary","35-50|50-65","male","saw palmetto berries, supplement form, extract","Supports prostate health and urinary function","https://medlineplus.gov/druginfo/natural/971.html"
60,Stinging Nettle,herbal,"hay fever, joint stiffness, allergies, arthritis, inflammation, allergy symptoms, poor immunity, allergic rhinitis, seasonal allergies","allergy,inflammation,immunity","vegan|veg|nonveg","sedentary|moderately_active","25-34|35-50|50-65","all","nettle leaves, nettle tea, supplement form","Reduces allergic inflammation naturally","https://medlineplus.gov/druginfo/natural/664.html"
61,Vitamin E,vitamin,"eczema, dry irritated skin, skin issues, acne, psoriasis, aging skin, antioxidant protection, dermatitis, itching","skin,antioxidant,aging","vegan|veg|nonveg","sedentary","25-34|35-50|50-65","all","nuts, seeds, vegetable oils, leafy greens, avocado","Protects skin cells from oxidative damage","https://ods.od.nih.gov/factsheets/VitaminE-HealthProfessional/"
62,Vitamin B5 (Pantothenic Acid),vitamin,"severe acne, oily skin, hormonal acne, skin inflammation, skin issues, poor skin barrier, acne breakouts","skin,metabolic,hormonal","vegan|veg|nonveg","sedentary","18-24|25-34|35-50","all","mushrooms, avocados, chicken, eggs, sunflower seeds","Regulates oil production and supports skin barrier","https://ods.od.nih.gov/factsheets/PantothenicAcid-HealthProfessional/"
63,Omega-6 GLA,fatty acid,"psoriasis, eczema flare-ups, dermatitis, skin inflammation, itching, rash, atopic conditions, skin barrier dysfunction","skin,inflammation,allergy","nonveg","sedentary|moderately_active","25-34|35-50|50-65","all","evening primrose oil, borage oil, hemp seeds","Reduces skin inflammation and supports skin barrier","https://medlineplus.gov/druginfo/natural/274.html"
64,Hyaluronic Acid,compound,"dry skin, joint lubrication loss, skin aging, wrinkles, joint pain, dehydration, skin elasticity loss, sagging skin","hydration,collagen,joint,aging","vegan|veg|nonveg","sedentary","35-50|50-65","all","supplement form, bone broth, leafy greens, legumes","Maintains skin moisture and joint cushioning","https://medlineplus.gov/druginfo/natural/1094.html"
65,Evening Primrose Oil,fatty acid,"premenstrual pain, hormonal acne, breast tenderness, mood swings, irregular periods, skin issues, PMS, period pain","hormonal,inflammation,skin","nonveg","sedentary|moderately_active","25-34|35-50|50-65","female","evening primrose seeds, evening primrose oil, supplement","Supports hormonal balance and skin health","https://medlineplus.gov/druginfo/natural/274.html"
66,Vitex (Chasteberry),herbal,"irregular periods, PMS, breast pain, hormonal imbalance, mood swings, cycle issues, period pain, menstrual dysfunction, hormonal acne","reproductive,hormonal,mood","vegan|veg|nonveg","sedentary","25-34|35-50|50-65","female","chasteberry, supplement form, vitex extract, herbal tea","Regulates menstrual hormones and reduces PMS symptoms","https://medlineplus.gov/druginfo/natural/968.html"
67,Maca Root,adaptogen,"low libido, hormonal imbalance, sexual dysfunction, energy issues, mood problems, fatigue, reproductive health, sexual performance","reproductive,hormonal,energy","vegan|veg|nonveg","active|moderately_active","25-34|35-50|50-65","all","maca root, maca powder, supplement form, maca root extract","Supports libido and hormone balance naturally","https://medlineplus.gov/druginfo/natural/555.html"
68,Iron Pregnancy,mineral,"pregnancy anemia, low hemoglobin, shortness of breath, fatigue, weakness, dizziness, fetal health, anemia during pregnancy","deficiency,blood,pregnancy,fetal","vegan|veg|nonveg","moderately_active","18-24|25-34","female","lentils, spinach, tofu, beans, fortified cereals, red meat","Prevents anemia during pregnancy and supports fetal development","https://ods.od.nih.gov/factsheets/Iron-HealthProfessional/"
69,Choline,nutrient,"poor fetal brain development, memory problems, cognitive decline, brain fog, pregnancy issues, developmental support, poor cognition","pregnancy,neurological,cognition","veg|nonveg","sedentary|moderately_active","25-34","female","eggs, soybeans, salmon, broccoli, Brussels sprouts","Supports brain development and memory during pregnancy","https://ods.od.nih.gov/factsheets/Choline-HealthProfessional/"
70,Folic Acid Pregnancy,vitamin,"neural tube defects, pregnancy deficiency, poor fetal development, anemia, fatigue, pregnancy complications, birth defects risk","pregnancy,deficiency,fetal","vegan|veg|nonveg","moderately_active","18-24|25-34","female","leafy greens, beans, lentils, asparagus, fortified grains","Prevents birth defects and supports pregnancy health","https://ods.od.nih.gov/factsheets/Folate-HealthProfessional/"
71,Vitamin B6 Pregnancy,vitamin,"morning sickness, pregnancy nausea, vomiting, nausea, poor digestion, mood issues during pregnancy, pregnancy discomfort","pregnancy,digestive,mood","vegan|veg|nonveg","sedentary","18-24|25-34","female","bananas, chickpeas, salmon, potatoes, sunflower seeds","Reduces nausea during pregnancy naturally","https://ods.od.nih.gov/factsheets/VitaminB6-HealthProfessional/"
72,Zinc Male Fertility,mineral,"low sperm count, infertility, reproductive issues, weak immunity, slow healing, hormonal imbalance, male fertility, sexual dysfunction","reproductive,hormonal,immunity","vegan|veg|nonveg","active","25-34|35-50","male","pumpkin seeds, legumes, oysters, beef, cashews","Supports sperm production and male reproductive health","https://ods.od.nih.gov/factsheets/Zinc-HealthProfessional/"
73,Vitamin D Bone,vitamin,"osteoporosis, bone fractures, bone thinning, weak bones, falling, frailty, muscle weakness, bone density loss, skeletal fragility","bone,deficiency,aging","veg|nonveg","sedentary|moderately_active","35-50|50-65","all","sunlight, fortified milk, fatty fish, egg yolks, mushrooms","Improves calcium absorption and bone density","https://ods.od.nih.gov/factsheets/VitaminD-HealthProfessional/"
74,Calcium Osteoporosis,mineral,"bone thinning, hip fractures, osteoporosis, spinal fractures, frailty, dental issues, muscle cramps, bone weakness","bone,deficiency,aging,oral","veg|nonveg","sedentary|moderately_active","35-50|50-65","all","milk, yogurt, leafy greens, cheese, sardines, fortified plant milk","Maintains skeletal strength and dental health","https://ods.od.nih.gov/factsheets/Calcium-HealthProfessional/"
75,Boron,mineral,"joint stiffness, bone weakness, arthritis, bone density loss, hormonal issues, cognitive decline, joint pain, bone metabolism","bone,joint,hormonal","vegan|veg|nonveg","sedentary","35-50|50-65","all","nuts, fruits, leafy greens, legumes, prunes","Supports bone and joint metabolism","https://ods.od.nih.gov/factsheets/Boron-HealthProfessional/"
